config,runId,step,stepNumber,stepTitle,modelRole,provider,requestedModel,actualMode,inputTokens,outputTokens,totalTokens,cost,estimatedCostUsd,invariantCount,missingInvariants,contradictions,driftScore,durationMs,qualityScore,judgeScoreStddev,testsPassed,success
baseline-openai,3,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,3684,851,4535,0.021975,0.021975,1,0,0,0,17470,10,,true,true
baseline-openai,3,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,4552,828,5380,0.0238,0.0238,1,0,0,0,17979,9.4,,true,true
baseline-openai,3,8,8,Automated tests,flagship,openai,gpt-5.4,live,5400,791,6191,0.025365,0.025365,2,0,0,0,14840,9.4,,true,true
baseline-openai,3,9,9,Refinement loop,flagship,openai,gpt-5.4,live,6211,900,7111,0.0290275,0.0290275,3,0,0,0,14774,9.4,,true,true
baseline-openai,3,10,10,Report export,flagship,openai,gpt-5.4,live,7131,766,7897,0.0293175,0.0293175,6,0,0,0,15418,10,,true,true
baseline-openai,4,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,511,624,0.0079475,0.0079475,0,0,0,0,11787,10,,true,true
baseline-openai,4,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,643,802,1445,0.0136375,0.0136375,4,0,0,0,14289,10,,true,true
baseline-openai,4,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1472,841,2313,0.016295,0.016295,4,0,0,0,14757,10,,true,true
baseline-openai,4,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2335,816,3151,0.0180775,0.0180775,5,0,0,0,13364,10,,true,true
baseline-openai,4,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,3171,787,3958,0.0197325,0.0197325,5,0,0,0,16780,10,,true,true
baseline-openai,4,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,3977,863,4840,0.0228875,0.0228875,5,0,0,0,16011,10,,true,true
baseline-openai,4,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,4857,861,5718,0.0250575,0.0250575,5,0,0,0,18123,10,,true,true
baseline-openai,4,8,8,Automated tests,flagship,openai,gpt-5.4,live,5738,900,6638,0.027845,0.027845,6,0,0,0,18272,9.4,,true,true
baseline-openai,4,9,9,Refinement loop,flagship,openai,gpt-5.4,live,6660,742,7402,0.02778,0.02778,7,0,0,0,13659,10,,true,true
baseline-openai,4,10,10,Report export,flagship,openai,gpt-5.4,live,7420,900,8320,0.03205,0.03205,9,0,0,0,18121,10,,true,true
baseline-openai,5,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,469,582,0.0073175,0.0073175,0,0,0,0,9105,10,,true,true
baseline-openai,5,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,601,680,1281,0.0117025,0.0117025,2,0,0,0,13030,10,,true,true
baseline-openai,5,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1308,751,2059,0.014535,0.014535,5,0,0,0,13895,10,,true,true
baseline-openai,5,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2081,710,2791,0.0158525,0.0158525,5,0,0,0,12607,10,,true,true
baseline-openai,5,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,2811,714,3525,0.0177375,0.0177375,5,0,0,0,14783,8.9,,true,true
baseline-openai,5,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,3544,832,4376,0.02134,0.02134,6,0,0,0,17918,10,,true,true
baseline-openai,5,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,4393,721,5114,0.0217975,0.0217975,6,0,0,0,13876,10,,true,true
baseline-openai,5,8,8,Automated tests,flagship,openai,gpt-5.4,live,5134,827,5961,0.02524,0.02524,6,0,0,0,17213,9.4,,true,true
baseline-openai,5,9,9,Refinement loop,flagship,openai,gpt-5.4,live,5981,867,6848,0.0279575,0.0279575,6,0,0,0,15286,9.4,,true,true
baseline-openai,5,10,10,Report export,flagship,openai,gpt-5.4,live,6866,821,7687,0.02948,0.02948,7,0,0,0,16545,9.4,,true,true
baseline-openai,6,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,534,647,0.0082925,0.0082925,0,0,0,0,10720,10,,true,true
baseline-openai,6,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,666,707,1373,0.01227,0.01227,1,0,0,0,16288,9.4,,true,true
baseline-openai,6,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1400,803,2203,0.015545,0.015545,1,0,0,0,17016,10,,true,true
baseline-openai,6,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2225,882,3107,0.0187925,0.0187925,2,0,0,0,15645,10,,true,true
baseline-openai,6,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,3127,775,3902,0.0194425,0.0194425,2,0,0,0,14440,8.9,,true,true
baseline-openai,6,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,3921,817,4738,0.0220575,0.0220575,2,0,0,0,14906,10,,true,true
baseline-openai,6,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,4755,784,5539,0.0236475,0.0236475,2,0,0,0,16493,10,,true,true
baseline-openai,6,8,8,Automated tests,flagship,openai,gpt-5.4,live,5559,853,6412,0.0266925,0.0266925,2,0,0,0,16129,9.4,,true,true
baseline-openai,6,9,9,Refinement loop,flagship,openai,gpt-5.4,live,6432,861,7293,0.028995,0.028995,3,0,0,0,15476,9.4,,true,true
baseline-openai,6,10,10,Report export,flagship,openai,gpt-5.4,live,7311,882,8193,0.0315075,0.0315075,6,0,0,0,15320,9.4,,true,true
baseline-openai,7,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,540,653,0.0083825,0.0083825,0,0,0,0,10242,10,,true,true
baseline-openai,7,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,672,710,1382,0.01233,0.01233,1,0,0,0,14902,10,,true,true
baseline-openai,7,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1409,802,2211,0.0155525,0.0155525,1,0,0,0,13923,10,,true,true
baseline-openai,7,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2233,709,2942,0.0162175,0.0162175,2,0,0,0,12835,10,,true,true
baseline-openai,7,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,2962,780,3742,0.019105,0.019105,2,0,0,0,16710,10,,true,true
baseline-openai,7,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,3761,774,4535,0.0210125,0.0210125,2,0,0,0,18033,10,,true,true
baseline-openai,7,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,4552,900,5452,0.02488,0.02488,2,0,0,0,18477,10,,true,true
baseline-openai,7,8,8,Automated tests,flagship,openai,gpt-5.4,live,5474,884,6358,0.026945,0.026945,3,0,0,0,18252,9.4,,true,true
baseline-openai,7,9,9,Refinement loop,flagship,openai,gpt-5.4,live,6378,663,7041,0.02589,0.02589,4,0,0,0,13464,10,,true,true
baseline-openai,7,10,10,Report export,flagship,openai,gpt-5.4,live,7059,851,7910,0.0304125,0.0304125,4,0,0,0,17394,10,,true,true
baseline-openai,8,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,459,572,0.0071675,0.0071675,0,0,0,0,11224,10,,true,true
baseline-openai,8,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,591,741,1332,0.0125925,0.0125925,2,0,0,0,16574,10,,true,true
baseline-openai,8,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,1359,672,2031,0.0134775,0.0134775,2,0,0,0,12936,10,,true,true
baseline-openai,8,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,2053,759,2812,0.0165175,0.0165175,3,0,0,0,13358,10,,true,true
baseline-openai,8,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,2832,796,3628,0.01902,0.01902,4,0,0,0,15535,9.4,,true,true
baseline-openai,8,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,3647,778,4425,0.0207875,0.0207875,4,0,0,0,15947,10,,true,true
baseline-openai,8,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,4442,835,5277,0.02363,0.02363,4,0,0,0,15254,10,,true,true
baseline-openai,8,8,8,Automated tests,flagship,openai,gpt-5.4,live,5297,900,6197,0.0267425,0.0267425,4,0,0,0,17018,9.4,,true,true
baseline-openai,8,9,9,Refinement loop,flagship,openai,gpt-5.4,live,6218,900,7118,0.029045,0.029045,4,0,0,0,18069,9.4,,true,true
baseline-openai,8,10,10,Report export,flagship,openai,gpt-5.4,live,7138,849,7987,0.03058,0.03058,5,0,0,0,18919,10,,true,true
openai-nano,1,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,525,638,0.0081575,0.0081575,0,0,0,0,10808,10,,true,true
openai-nano,1,1,1,CLI skeleton + argument parsing (gate),gate,openai,gpt-5-nano,live,1390,640,2030,0.0003255,0.0003255,0,0,0,0,6255,10,,true,true
openai-nano,1,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,259,614,873,0.0098575,0.0098575,0,0,0,0,13340,10,,true,true
openai-nano,1,2,2,Task data model + JSON persistence (gate),gate,openai,gpt-5-nano,live,2117,640,2757,0.00036185,0.00036185,0,0,0,0,4873,10,,true,true
openai-nano,1,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,276,561,837,0.009105,0.009105,0,0,0,0,11301,10,,true,true
openai-nano,1,3,3,"List, filter, and view tasks (gate)",gate,openai,gpt-5-nano,live,2653,640,3293,0.00038865,0.00038865,0,0,0,0,5043,10,,true,true
openai-nano,1,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,268,525,793,0.008545,0.008545,0,0,0,0,10304,10,,true,true
openai-nano,1,4,4,Complete/delete commands + validation (gate),gate,openai,gpt-5-nano,live,3164,640,3804,0.0004142,0.0004142,0,0,0,0,5135,10,,true,true
openai-nano,1,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,271,471,742,0.0077425,0.0077425,0,0,0,0,10147,9.4,,true,true
openai-nano,1,5,5,Gate summarizer integration (gate),gate,openai,gpt-5-nano,live,3601,640,4241,0.00043605,0.00043605,0,0,0,0,4959,9.4,,true,true
openai-nano,1,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,268,468,736,0.00769,0.00769,0,0,0,0,8858,10,,true,true
openai-nano,1,6,6,AI-assisted decomposition (gate),gate,openai,gpt-5-nano,live,4085,640,4725,0.00046025,0.00046025,0,0,0,0,7227,10,,true,true
openai-nano,1,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,262,533,795,0.00865,0.00865,0,0,0,0,10045,10,,true,true
openai-nano,1,7,7,Code snippet generator (gate),gate,openai,gpt-5-nano,live,4700,640,5340,0.000491,0.000491,0,0,0,0,4472,10,,true,true
openai-nano,1,8,8,Automated tests,flagship,openai,gpt-5.4,live,265,601,866,0.0096775,0.0096775,0,0,0,0,13196,9.4,,true,true
openai-nano,1,8,8,Automated tests (gate),gate,openai,gpt-5-nano,live,5389,640,6029,0.00052545,0.00052545,0,0,0,0,5050,9.4,,true,true
openai-nano,1,9,9,Refinement loop,flagship,openai,gpt-5.4,live,280,423,703,0.007045,0.007045,0,0,0,0,9093,10,,true,true
openai-nano,1,9,9,Refinement loop (gate),gate,openai,gpt-5-nano,live,5654,640,6294,0.0005387,0.0005387,0,0,0,0,6232,10,,true,true
openai-nano,1,10,10,Report export,flagship,openai,gpt-5.4,live,267,450,717,0.0074175,0.0074175,0,0,0,0,9042,9.4,,true,true
openai-nano,1,10,10,Report export (gate),gate,openai,gpt-5-nano,live,6149,640,6789,0.00056345,0.00056345,0,0,0,0,4720,9.4,,true,true
openai-nano,2,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,522,635,0.0081125,0.0081125,2,0,0,0,9928,10,,true,true
openai-nano,2,1,1,CLI skeleton + argument parsing (gate),gate,openai,gpt-5-nano,live,1407,640,2047,0.00032635,0.00032635,2,0,0,0,4464,10,,true,true
openai-nano,2,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,299,694,993,0.0111575,0.0111575,3,0,0,0,12127,9.4,,true,true
openai-nano,2,2,2,Task data model + JSON persistence (gate),gate,openai,gpt-5-nano,live,2304,640,2944,0.0003712,0.0003712,3,0,0,0,5265,9.4,,true,true
openai-nano,2,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,318,724,1042,0.011655,0.011655,4,0,0,0,13842,10,,true,true
openai-nano,2,3,3,"List, filter, and view tasks (gate)",gate,openai,gpt-5-nano,live,3091,640,3731,0.00041055,0.00041055,4,0,0,0,4778,10,,true,true
openai-nano,2,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,324,677,1001,0.010965,0.010965,7,0,0,0,12217,10,,true,true
openai-nano,2,4,4,Complete/delete commands + validation (gate),gate,openai,gpt-5-nano,live,3802,640,4442,0.0004461,0.0004461,7,0,0,0,4924,10,,true,true
openai-nano,2,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,362,590,952,0.009755,0.009755,7,0,0,0,10806,9.4,,true,true
openai-nano,2,5,5,Gate summarizer integration (gate),gate,openai,gpt-5-nano,live,4325,640,4965,0.00047225,0.00047225,7,0,0,0,4500,9.4,,true,true
openai-nano,2,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,370,649,1019,0.01066,0.01066,10,0,0,0,11306,10,,true,true
openai-nano,2,6,6,AI-assisted decomposition (gate),gate,openai,gpt-5-nano,live,5092,640,5732,0.0005106,0.0005106,10,0,1,1,5078,10,,true,true
openai-nano,2,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,405,769,1174,0.0125475,0.0125475,14,0,0,0,11482,10,,true,true
openai-nano,2,7,7,Code snippet generator (gate),gate,openai,gpt-5-nano,live,6047,640,6687,0.00055835,0.00055835,14,0,1,1,6166,10,,true,true
openai-nano,2,8,8,Automated tests,flagship,openai,gpt-5.4,live,559,611,1170,0.0105625,0.0105625,15,0,0,0,12676,8.9,,true,true
openai-nano,2,8,8,Automated tests (gate),gate,openai,gpt-5-nano,live,6529,640,7169,0.00058245,0.00058245,15,0,1,1,5844,8.9,,true,true
openai-nano,2,9,9,Refinement loop,flagship,openai,gpt-5.4,live,523,607,1130,0.0104125,0.0104125,16,0,0,0,11214,9.4,,true,true
openai-nano,2,9,9,Refinement loop (gate),gate,openai,gpt-5-nano,live,7164,640,7804,0.0006142,0.0006142,16,0,1,1,4915,9.4,,true,true
openai-nano,2,10,10,Report export,flagship,openai,gpt-5.4,live,532,523,1055,0.009175,0.009175,18,0,0,0,9224,10,,true,true
openai-nano,2,10,10,Report export (gate),gate,openai,gpt-5-nano,live,7650,640,8290,0.0006385,0.0006385,18,0,1,1,5922,10,,true,true
openai-nano,3,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,394,507,0.0061925,0.0061925,1,0,0,0,7201,10,,true,true
openai-nano,3,1,1,CLI skeleton + argument parsing (gate),gate,openai,gpt-5-nano,live,1154,640,1794,0.0003137,0.0003137,1,0,0,0,5174,10,,true,true
openai-nano,3,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,300,618,918,0.01002,0.01002,2,0,0,0,14177,10,,true,true
openai-nano,3,2,2,Task data model + JSON persistence (gate),gate,openai,gpt-5-nano,live,2027,640,2667,0.00035735,0.00035735,2,0,0,0,5405,10,,true,true
openai-nano,3,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,308,610,918,0.00992,0.00992,4,0,0,0,12702,10,,true,true
openai-nano,3,3,3,"List, filter, and view tasks (gate)",gate,openai,gpt-5-nano,live,2681,640,3321,0.00039005,0.00039005,4,0,0,0,4765,10,,true,true
openai-nano,3,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,349,621,970,0.0101875,0.0101875,7,0,0,0,11000,10,,true,true
openai-nano,3,4,4,Complete/delete commands + validation (gate),gate,openai,gpt-5-nano,live,3370,640,4010,0.0004245,0.0004245,7,0,1,1,5292,10,,true,true
openai-nano,3,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,372,533,905,0.008925,0.008925,9,0,0,0,12161,9.4,,true,true
openai-nano,3,5,5,Gate summarizer integration (gate),gate,openai,gpt-5-nano,live,3870,640,4510,0.0004495,0.0004495,9,0,1,1,5665,9.4,,true,true
openai-nano,3,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,405,637,1042,0.0105675,0.0105675,13,0,0,0,11124,10,,true,true
openai-nano,3,6,6,AI-assisted decomposition (gate),gate,openai,gpt-5-nano,live,4692,640,5332,0.0004906,0.0004906,13,0,1,1,6385,10,,true,true
openai-nano,3,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,454,607,1061,0.01024,0.01024,16,0,0,0,12783,10,,true,true
openai-nano,3,7,7,Code snippet generator (gate),gate,openai,gpt-5-nano,live,5321,640,5961,0.00052205,0.00052205,16,0,1,1,5305,10,,true,true
openai-nano,3,8,8,Automated tests,flagship,openai,gpt-5.4,live,493,613,1106,0.0104275,0.0104275,18,0,0,0,11905,10,,true,true
openai-nano,3,8,8,Automated tests (gate),gate,openai,gpt-5-nano,live,5998,640,6638,0.0005559,0.0005559,18,0,1,1,6603,10,,true,true
openai-nano,3,9,9,Refinement loop,flagship,openai,gpt-5.4,live,537,639,1176,0.0109275,0.0109275,21,0,0,0,11360,10,,true,true
openai-nano,3,9,9,Refinement loop (gate),gate,openai,gpt-5-nano,live,6743,640,7383,0.00059315,0.00059315,21,0,1,1,5782,10,,true,true
openai-nano,3,10,10,Report export,flagship,openai,gpt-5.4,live,594,583,1177,0.01023,0.01023,23,0,0,0,10949,9.4,,true,true
openai-nano,3,10,10,Report export (gate),gate,openai,gpt-5-nano,live,7306,640,7946,0.0006213,0.0006213,23,0,1,1,5678,9.4,,true,true
openai-nano,4,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,694,807,0.0106925,0.0106925,0,0,0,0,12997,10,,true,true
openai-nano,4,1,1,CLI skeleton + argument parsing (gate),gate,openai,gpt-5-nano,live,1728,640,2368,0.0003424,0.0003424,0,0,0,0,6000,10,,true,true
openai-nano,4,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,288,584,872,0.00948,0.00948,1,0,0,0,9794,9.4,,true,true
openai-nano,4,2,2,Task data model + JSON persistence (gate),gate,openai,gpt-5-nano,live,2239,640,2879,0.00036795,0.00036795,1,0,0,0,5283,9.4,,true,true
openai-nano,4,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,295,641,936,0.0103525,0.0103525,1,0,0,0,10704,10,,true,true
openai-nano,4,3,3,"List, filter, and view tasks (gate)",gate,openai,gpt-5-nano,live,2964,640,3604,0.0004042,0.0004042,1,0,0,0,8056,10,,true,true
openai-nano,4,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,282,513,795,0.0084,0.0084,4,0,0,0,10535,10,,true,true
openai-nano,4,4,4,Complete/delete commands + validation (gate),gate,openai,gpt-5-nano,live,3410,640,4050,0.0004265,0.0004265,4,0,0,0,7302,10,,true,true
openai-nano,4,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,314,563,877,0.00923,0.00923,7,0,0,0,10538,10,,true,true
openai-nano,4,5,5,Gate summarizer integration (gate),gate,openai,gpt-5-nano,live,4091,640,4731,0.00046055,0.00046055,7,0,0,0,6009,10,,true,true
openai-nano,4,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,366,606,972,0.010005,0.010005,9,0,0,0,10686,10,,true,true
openai-nano,4,6,6,AI-assisted decomposition (gate),gate,openai,gpt-5-nano,live,4787,640,5427,0.00049535,0.00049535,9,0,0,0,5820,10,,true,true
openai-nano,4,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,377,900,1277,0.0144425,0.0144425,17,0,0,0,13851,9.3,,true,true
openai-nano,4,7,7,Code snippet generator (gate),gate,openai,gpt-5-nano,live,6101,640,6741,0.00056105,0.00056105,17,0,1,1,6043,9.3,,true,true
openai-nano,4,8,8,Automated tests,flagship,openai,gpt-5.4,live,530,485,1015,0.0086,0.0086,19,0,0,0,11615,9.4,,true,true
openai-nano,4,8,8,Automated tests (gate),gate,openai,gpt-5-nano,live,6217,640,6857,0.00056685,0.00056685,19,0,1,1,5686,9.4,,true,true
openai-nano,4,9,9,Refinement loop,flagship,openai,gpt-5.4,live,498,497,995,0.0087,0.0087,22,0,0,0,8607,9.4,,true,true
openai-nano,4,9,9,Refinement loop (gate),gate,openai,gpt-5-nano,live,6797,640,7437,0.00059585,0.00059585,22,0,1,1,5065,9.4,,true,true
openai-nano,4,10,10,Report export,flagship,openai,gpt-5.4,live,543,653,1196,0.0111525,0.0111525,24,0,0,0,12585,10,,true,true
openai-nano,4,10,10,Report export (gate),gate,openai,gpt-5-nano,live,7647,640,8287,0.00063835,0.00063835,24,0,1,1,5250,10,,true,true
openai-nano,5,1,1,CLI skeleton + argument parsing,flagship,openai,gpt-5.4,live,113,508,621,0.0079025,0.0079025,0,0,0,0,11488,10,,true,true
openai-nano,5,1,1,CLI skeleton + argument parsing (gate),gate,openai,gpt-5-nano,live,1356,640,1996,0.0003238,0.0003238,0,0,0,0,5307,10,,true,true
openai-nano,5,2,2,Task data model + JSON persistence,flagship,openai,gpt-5.4,live,270,656,926,0.010515,0.010515,1,0,0,0,11974,9.4,,true,true
openai-nano,5,2,2,Task data model + JSON persistence (gate),gate,openai,gpt-5-nano,live,2197,640,2837,0.00036585,0.00036585,1,0,0,0,5050,9.4,,true,true
openai-nano,5,3,3,"List, filter, and view tasks",flagship,openai,gpt-5.4,live,288,690,978,0.01107,0.01107,1,0,0,0,12050,10,,true,true
openai-nano,5,3,3,"List, filter, and view tasks (gate)",gate,openai,gpt-5-nano,live,2948,640,3588,0.0004034,0.0004034,1,0,0,0,5046,10,,true,true
openai-nano,5,4,4,Complete/delete commands + validation,flagship,openai,gpt-5.4,live,273,666,939,0.0106725,0.0106725,3,0,0,0,12811,10,,true,true
openai-nano,5,4,4,Complete/delete commands + validation (gate),gate,openai,gpt-5-nano,live,3642,640,4282,0.0004381,0.0004381,3,0,0,0,4660,10,,true,true
openai-nano,5,5,5,Gate summarizer integration,flagship,openai,gpt-5.4,live,317,534,851,0.0088025,0.0088025,4,0,0,0,12807,9.4,,true,true
openai-nano,5,5,5,Gate summarizer integration (gate),gate,openai,gpt-5-nano,live,4074,640,4714,0.0004597,0.0004597,4,0,0,0,6161,9.4,,true,true
openai-nano,5,6,6,AI-assisted decomposition,flagship,openai,gpt-5.4,live,314,476,790,0.007925,0.007925,5,0,0,0,8465,10,,true,true
openai-nano,5,6,6,AI-assisted decomposition (gate),gate,openai,gpt-5-nano,live,4530,640,5170,0.0004825,0.0004825,5,0,0,0,7893,10,,true,true
openai-nano,5,7,7,Code snippet generator,flagship,openai,gpt-5.4,live,329,507,836,0.0084275,0.0084275,7,0,0,0,9224,10,,true,true
openai-nano,5,7,7,Code snippet generator (gate),gate,openai,gpt-5-nano,live,5119,640,5759,0.00051195,0.00051195,7,0,0,0,4979,10,,true,true
openai-nano,5,8,8,Automated tests,flagship,openai,gpt-5.4,live,358,612,970,0.010075,0.010075,7,0,0,0,12833,8.9,,true,true
openai-nano,5,8,8,Automated tests (gate),gate,openai,gpt-5-nano,live,5856,640,6496,0.0005488,0.0005488,7,0,0,0,5244,8.9,,true,true
openai-nano,5,9,9,Refinement loop,flagship,openai,gpt-5.4,live,364,476,840,0.00805,0.00805,8,0,0,0,8047,10,,true,true
openai-nano,5,9,9,Refinement loop (gate),gate,openai,gpt-5-nano,live,6248,640,6888,0.0005684,0.0005684,8,0,0,0,4901,10,,true,true
